family,rank,map,map_scale,validation_elbo,normalized_gradient,adam_steps,lbfgs_iterations,wall_time_seconds,plateau_passed,gradient_passed,independent_elbo_1,independent_elbo_1_se,independent_elbo_2,independent_elbo_2_se,independent_agreement_passed,converged,failure_reason,initialization,selected,experiment,case,data_seed,m_constraints,derivative_scale,restart
rank2,2,squareplus,0.011873182385213316,-34.75254133769448,1.6366419450926952,8000,500,62.81490690005012,True,False,-34.83780189595146,0.03100102230002887,-34.73681750925892,0.028739235571669405,True,False,normalized_gradient,independent,False,map,log,4,20,0.04749272954085326,0
rank2,2,squareplus,0.011873182385213316,-34.8606400450347,1.7677400614270784,7800,500,63.339142499957234,True,False,-34.86976575549572,0.05024364743810001,-34.86322942810095,0.02895334807601208,True,False,normalized_gradient,independent,False,map,log,4,20,0.04749272954085326,1
rank2,2,squareplus,0.011873182385213316,-34.75062865022434,0.5269351224826624,8000,500,61.02835879987106,True,False,-34.75428873129925,0.030330054676238664,-34.68229998601504,0.02854561170147842,True,False,normalized_gradient,independent,False,map,log,4,20,0.04749272954085326,2
rank2,2,softplus,1.0,-0.39102733620143315,0.00017866294943596244,800,114,3.1267079000826925,True,True,-0.3730846438897075,0.00900581590913892,-0.39586392549738814,0.009480226445733549,True,True,,independent,False,map,log,4,5,0.04745969298505166,0
rank2,2,softplus,1.0,-0.3902820310804722,0.0004954282913071487,2600,72,4.3052215001080185,True,True,-0.4107019783021819,0.00965306966543728,-0.38436783551042475,0.00939800103295445,True,True,,independent,False,map,log,4,5,0.04745969298505166,1
rank2,2,softplus,1.0,-0.3901813642137417,0.00025511881100033306,2400,76,4.383081799838692,True,True,-0.4003334766766401,0.009705186984452115,-0.4027102863742431,0.009309493772163448,True,True,,independent,True,map,log,4,5,0.04745969298505166,2
rank2,2,exp,1.0,-0.4376473879717251,0.000407731875676194,1000,97,1.8293862000573426,True,True,-0.44182116669749627,0.010954065903871142,-0.43019159321926637,0.009340610063539315,True,True,,independent,False,map,log,4,5,0.04745969298505166,0
rank2,2,exp,1.0,-0.4367257210990436,0.00023440245330042843,800,132,1.4512461998965591,True,True,-0.4355959986297811,0.009187573223407047,-0.43332949838196566,0.009625156057633165,True,True,,independent,True,map,log,4,5,0.04745969298505166,1
rank2,2,exp,1.0,-0.43782724876106505,0.0003378503911155218,800,233,2.4938837001100183,True,True,-0.43543432682950656,0.009703718714871188,-0.43617864520665883,0.009781333181013256,True,True,,independent,False,map,log,4,5,0.04745969298505166,2
rank2,2,squareplus,0.011864923246262916,-0.2104651758067586,0.000415813290394778,1800,61,2.538666700012982,True,True,-0.2009206568799041,0.006705101826542931,-0.2070723423394341,0.006701046112689618,True,True,,independent,False,map,log,4,5,0.04745969298505166,0
rank2,2,squareplus,0.011864923246262916,-0.20936403918021007,0.0004945773133782208,2400,60,2.9750880000647157,True,True,-0.21111487779656704,0.006732882589799327,-0.20721095303145037,0.00669027764321113,True,True,,independent,True,map,log,4,5,0.04745969298505166,1
rank2,2,squareplus,0.011864923246262916,-0.21047138616730798,0.00026349664971832975,1400,62,2.70292149996385,True,True,-0.2091311921020545,0.006729915148012298,-0.21868119539991404,0.006760238003773392,True,True,,independent,False,map,log,4,5,0.04745969298505166,2
rank2,2,softplus,1.0,-78.97696932419696,0.1483978718290748,3800,500,43.042996499920264,True,False,-79.03298676688692,0.10399003668935529,-78.89542965082667,0.10065679793354732,True,False,normalized_gradient,independent,False,map,sigmoid,0,20,0.15509320646020364,0
rank2,2,softplus,1.0,-78.93032409239575,0.12322737059223449,3600,500,37.46367350011133,True,False,-79.03098650097343,0.10408873753471408,-78.83525968187556,0.1015281425265012,True,False,normalized_gradient,independent,False,map,sigmoid,0,20,0.15509320646020364,1
rank2,2,softplus,1.0,-78.97032014482579,1.3722250959995121,4000,500,43.074878399958834,True,False,-79.05456572768,0.10299047051719061,-78.84439203285905,0.09860798819180579,True,False,normalized_gradient,independent,False,map,sigmoid,0,20,0.15509320646020364,2
rank2,2,exp,1.0,-78.59612961500673,0.1424321756018074,5000,500,26.355396900093183,True,False,-78.39451385247409,0.09982576635033753,-78.54167717447382,0.09999470211813241,True,False,normalized_gradient,independent,False,map,sigmoid,0,20,0.15509320646020364,0
rank2,2,exp,1.0,-78.5996836047893,0.16710508489349657,6000,500,31.857802900020033,True,False,-78.55510895342424,0.09960252728068202,-78.56721869466017,0.10084736068940114,True,False,normalized_gradient,independent,False,map,sigmoid,0,20,0.15509320646020364,1
rank2,2,exp,1.0,-78.75648097975069,0.4287053614369169,4400,500,24.725838100071996,True,False,-78.8150746473187,0.10086550158301232,-78.84372683152948,0.10206267583327974,True,False,normalized_gradient,independent,False,map,sigmoid,0,20,0.15509320646020364,2
rank2,2,squareplus,0.03877330161505091,-82.5221648163894,1.1058335828790793,4400,500,57.083602299913764,True,False,-82.42024067886986,0.10289024819168621,-82.65537248200471,0.10452818518222551,True,False,normalized_gradient,independent,False,map,sigmoid,0,20,0.15509320646020364,0
rank2,2,squareplus,0.03877330161505091,-82.61887531785273,0.23053444023983252,5800,500,56.013975699897856,True,False,-82.57140524213115,0.10357844456052574,-82.58148745902866,0.10807682532025686,True,False,normalized_gradient,independent,False,map,sigmoid,0,20,0.15509320646020364,1
rank2,2,squareplus,0.03877330161505091,-82.21862882872963,0.6836666641303323,4600,500,52.279526400147006,True,False,-82.11174186824843,0.10342322031565593,-82.2428353242219,0.1054440415705733,True,False,normalized_gradient,independent,False,map,sigmoid,0,20,0.15509320646020364,2
rank2,2,softplus,1.0,-9.026587454749903,0.00031916377091380243,4200,104,6.509684900054708,True,True,-9.019428831132641,0.010716769107117654,-9.025283305458489,0.011530701206135256,True,True,,independent,True,map,sigmoid,0,5,0.15512848235426513,0
