m_constraints,family,component,repeat,value,unit,batch_size,iterations
20,diag,10000_samples,0,0.011136400047689676,seconds,10000,1
20,diag,10000_samples,1,0.009936900110915303,seconds,10000,1
20,diag,10000_samples,2,0.011792000150308013,seconds,10000,1
20,diag,10000_samples,3,0.010459399782121181,seconds,10000,1
20,diag,10000_samples,4,0.010123600019142032,seconds,10000,1
20,diag,10000_samples,5,0.009573499904945493,seconds,10000,1
20,diag,10000_samples,6,0.010206999955698848,seconds,10000,1
20,diag,peak_memory,0,82.75390625,MiB_peak_RSS,512,20
20,diag,peak_memory,1,82.75390625,MiB_peak_RSS,512,20
20,diag,peak_memory,2,82.75390625,MiB_peak_RSS,512,20
20,diag,peak_memory,3,82.75390625,MiB_peak_RSS,512,20
20,diag,peak_memory,4,82.75390625,MiB_peak_RSS,512,20
20,diag,peak_memory,5,82.75390625,MiB_peak_RSS,512,20
20,diag,peak_memory,6,82.75390625,MiB_peak_RSS,512,20
20,rank2,objective_gradient,0,0.003110900055617094,seconds,512,1
20,rank2,objective_gradient,1,0.0026159000117331743,seconds,512,1
20,rank2,objective_gradient,2,0.0023575001396238804,seconds,512,1
20,rank2,objective_gradient,3,0.0022047001402825117,seconds,512,1
20,rank2,objective_gradient,4,0.002327500144019723,seconds,512,1
20,rank2,objective_gradient,5,0.0019199000671505928,seconds,512,1
20,rank2,objective_gradient,6,0.0018446999602019787,seconds,512,1
20,rank2,1000_iterations,0,0.39936690009199083,seconds,8,1000
20,rank2,1000_iterations,1,0.3346718999091536,seconds,8,1000
20,rank2,1000_iterations,2,0.3890325000975281,seconds,8,1000
20,rank2,1000_iterations,3,0.41516179987229407,seconds,8,1000
20,rank2,1000_iterations,4,0.39242910011671484,seconds,8,1000
20,rank2,1000_iterations,5,0.4161284000147134,seconds,8,1000
20,rank2,1000_iterations,6,0.3482316001318395,seconds,8,1000
20,rank2,10000_samples,0,0.012787200044840574,seconds,10000,1
20,rank2,10000_samples,1,0.014580400194972754,seconds,10000,1
20,rank2,10000_samples,2,0.012980000115931034,seconds,10000,1
20,rank2,10000_samples,3,0.013793200021609664,seconds,10000,1
20,rank2,10000_samples,4,0.015597600024193525,seconds,10000,1
20,rank2,10000_samples,5,0.014185199979692698,seconds,10000,1
20,rank2,10000_samples,6,0.014103499939665198,seconds,10000,1
20,rank2,peak_memory,0,83.14453125,MiB_peak_RSS,512,20
20,rank2,peak_memory,1,83.14453125,MiB_peak_RSS,512,20
20,rank2,peak_memory,2,83.14453125,MiB_peak_RSS,512,20
20,rank2,peak_memory,3,83.14453125,MiB_peak_RSS,512,20
20,rank2,peak_memory,4,83.14453125,MiB_peak_RSS,512,20
20,rank2,peak_memory,5,83.14453125,MiB_peak_RSS,512,20
20,rank2,peak_memory,6,83.14453125,MiB_peak_RSS,512,20
20,rank4,objective_gradient,0,0.002154699992388487,seconds,512,1
20,rank4,objective_gradient,1,0.0023354999721050262,seconds,512,1
20,rank4,objective_gradient,2,0.002469800179824233,seconds,512,1
20,rank4,objective_gradient,3,0.002113600028678775,seconds,512,1
20,rank4,objective_gradient,4,0.0023289001546800137,seconds,512,1
20,rank4,objective_gradient,5,0.002264099894091487,seconds,512,1
20,rank4,objective_gradient,6,0.002134100068360567,seconds,512,1
20,rank4,1000_iterations,0,0.45123849995434284,seconds,8,1000
20,rank4,1000_iterations,1,0.4294063998386264,seconds,8,1000
