method,metric_available,unavailable_reason,reverse_kl,reverse_kl_se,forward_kl,forward_kl_se,tv,tv_se,average_marginal_w1,sliced_w1,mean_relative_error,covariance_relative_error,experiment,case,data_seed,m_constraints,family,map,derivative_scale,squareplus_alpha_over_sd,selected_validation_elbo,selected_normalized_gradient,selected_wall_time_seconds,converged_restarts,restart_count,normalizer_reliable,reference_reliable,validation_elbo,normalized_gradient,converged,wall_time_seconds,jacobian_log_q01,jacobian_log_q50,jacobian_log_q99,minimum_derivative
CTVGP,True,,0.19822488252386172,0.0015902333823143238,284.2951010822999,120.66952783003698,0.2301948904594905,0.001044382848832739,0.007333937696397325,0.005031446791771861,0.0022784358213685458,0.0816618931777323,map,sigmoid,0,5,rank2,squareplus,0.15512848235426513,0.25,-8.79449412920921,0.00038931354849163223,2.5955755000468343,3,3,True,True,-8.79449412920921,0.00038931354849163223,True,2.5955755000468343,-3.4415065097019557,-0.022410583597852973,-5.568047936117315e-05,0.0010903237784037178
CTVGP,False,no converged restart,,,,,,,,,,,map,sigmoid,1,20,rank2,softplus,0.19415197561342812,,,,,0,3,False,False,,,,,,,,
CTVGP,False,no converged restart,,,,,,,,,,,map,sigmoid,1,20,rank2,exp,0.19415197561342812,,,,,0,3,False,False,,,,,,,,
CTVGP,False,no converged restart,,,,,,,,,,,map,sigmoid,1,20,rank2,squareplus,0.19415197561342812,0.25,,,,0,3,False,False,,,,,,,,
CTVGP,True,,0.4192887527318976,0.0029052061623266777,1.3693757796042827,0.02663930214958584,0.324543391558642,0.0013190054652531316,0.017807919966075163,0.009665062207074021,0.005414188107538104,0.10401878718854671,map,sigmoid,1,5,rank2,softplus,0.19412349655274083,,-2.522974871411238,0.0007469844807286838,5.675088399788365,3,3,True,True,-2.522974871411238,0.0007469844807286838,True,5.675088399788365,-4.04486482885812,-1.429170399948088,-0.08713313651797665,0.002218278856359453
CTVGP,True,,0.5829486397423764,0.00426142215385379,2.3525865422929755,0.042528589401701206,0.3881523321777054,0.0014209309753876287,0.023564276794655302,0.015002251949482152,0.00710465680226465,0.09881833532502464,map,sigmoid,1,5,rank2,exp,0.19412349655274083,,-2.6915015145922565,0.0018290442690232051,7.527673200005665,3,3,True,True,-2.6915015145922565,0.0018290442690232051,True,7.527673200005665,-3.8932849796488074,-1.297598302057506,0.9121280513308261,0.004074709819825911
CTVGP,True,,0.12212176785176387,0.001424885927415325,46.91914700335507,30.43502850486674,0.17851892781119671,0.0008039962400936637,0.009984551920034761,0.007570909698824082,0.004242845516275725,0.07879965863235937,map,sigmoid,1,5,rank2,squareplus,0.19412349655274083,0.25,-2.231813042857554,0.00035702910525163464,3.457361300010234,3,3,True,True,-2.231813042857554,0.00035702910525163464,True,3.457361300010234,-3.1361681579898266,-0.007015370995363757,-9.62083915303945e-05,0.0013761882182505496
CTVGP,False,no converged restart,,,,,,,,,,,map,sigmoid,2,20,rank2,softplus,0.24108894757595634,,,,,0,3,True,False,,,,,,,,
CTVGP,False,no converged restart,,,,,,,,,,,map,sigmoid,2,20,rank2,exp,0.24108894757595634,,,,,0,3,True,False,,,,,,,,
CTVGP,False,no converged restart,,,,,,,,,,,map,sigmoid,2,20,rank2,squareplus,0.24108894757595634,0.25,,,,0,3,True,False,,,,,,,,
CTVGP,True,,0.4038159753337913,0.002999471966941283,1.0309439883940794,0.019409393116619336,0.31503564267524825,0.0012817014810566042,0.0171461808118167,0.010104619142121919,0.0019209223770477008,0.0747552203142833,map,sigmoid,2,5,rank2,softplus,0.24103182381442664,,-4.847547304608714,0.0005708538069202531,4.777815000154078,2,3,True,True,-4.847547304608714,0.0005708538069202531,True,4.777815000154078,-4.190295937659191,-1.782628544300529,-0.058647405578567936,0.0022520586741295165
CTVGP,True,,0.6103732638181816,0.00485322479518854,1.8092520000467018,0.03027325453765946,0.38972578174019074,0.0014009762109971128,0.02368049593867123,0.013031618073118688,0.003133627940478332,0.07544911978979532,map,sigmoid,2,5,rank2,exp,0.24103182381442664,,-5.03662414210255,0.0012876906858318717,6.2775075999088585,3,3,True,True,-5.03662414210255,0.0012876906858318717,True,6.2775075999088585,-3.97922960390469,-1.7076476420717617,1.0577501545204708,0.0033418574016506925
CTVGP,True,,0.1909245467191445,0.001667517469398312,366.82730939684006,234.80978754934227,0.2292583008629155,0.0009759681022495308,0.0120394869468762,0.007813423995698955,0.0025020355163144223,0.09103423547106616,map,sigmoid,2,5,rank2,squareplus,0.24103182381442664,0.25,-4.637029765115672,0.0004279225008818285,2.356604899978265,3,3,True,True,-4.637029765115672,0.0004279225008818285,True,2.356604899978265,-3.4356387875761842,-0.018672668073484222,-0.00011055209894642592,0.0016093505112462839
CTVGP,False,no converged restart,,,,,,,,,,,map,sigmoid,3,20,rank2,softplus,0.15505556537144566,,,,,0,3,True,False,,,,,,,,
CTVGP,False,no converged restart,,,,,,,,,,,map,sigmoid,3,20,rank2,exp,0.15505556537144566,,,,,0,3,True,False,,,,,,,,
CTVGP,False,no converged restart,,,,,,,,,,,map,sigmoid,3,20,rank2,squareplus,0.15505556537144566,0.25,,,,0,3,True,False,,,,,,,,
CTVGP,True,,0.6143455276493097,0.004316160624608085,1.670940435260054,0.02669478448554149,0.3903198192793825,0.0014507613175170184,0.009569025101281525,0.007316676406478027,0.005221985550143241,0.15417818163868607,map,sigmoid,3,5,rank2,softplus,0.15508186845342548,,-4.124578040349903,0.0018255426401705707,10.154086400056258,3,3,True,True,-4.124578040349903,0.0018255426401705707,True,10.154086400056258,-4.720584399512056,-2.6631517820139523,-0.1898110166454351,0.0008272991422474961
CTVGP,True,,0.7148290736850051,0.005472098469691204,2.1662131853406894,0.032608389735793254,0.42675911071579986,0.001495809797772092,0.011067885318382865,0.00825847643799162,0.006220452421349648,0.16882106103766073,map,sigmoid,3,5,rank2,exp,0.15508186845342548,,-4.228900381272099,0.0011109470337792992,7.800346300005913,3,3,True,True,-4.228900381272099,0.0011109470337792992,True,7.800346300005913,-4.60397692733684,-2.633057626188354,0.5653620971228112,0.0022232664247426046
CTVGP,True,,0.24999644330210335,0.0017574357155375044,1619.183887514914,916.3526773832269,0.2517962584743839,0.001177966291293051,0.005726620636278369,0.006054129183014288,0.0016312376321709436,0.16939737585234269,map,sigmoid,3,5,rank2,squareplus,0.15508186845342548,0.25,-3.7604190607350243,0.0004619330723627151,3.4778136999811977,3,3,True,True,-3.7604190607350243,0.0004619330723627151,True,3.4778136999811977,-3.2564326610184726,-0.046636859867211555,-0.00012369389109339487,0.0013872671891083659
CTVGP,False,no converged restart,,,,,,,,,,,map,sigmoid,4,20,rank2,softplus,0.1001105292895503,,,,,0,3,True,False,,,,,,,,
CTVGP,False,no converged restart,,,,,,,,,,,map,sigmoid,4,20,rank2,exp,0.1001105292895503,,,,,0,3,True,False,,,,,,,,
CTVGP,False,no converged restart,,,,,,,,,,,map,sigmoid,4,20,rank2,squareplus,0.1001105292895503,0.25,,,,0,3,True,False,,,,,,,,
CTVGP,True,,0.5371252788480039,0.003892289710076989,1.7620988996756834,0.03535164426285855,0.36094155537358835,0.0014088201418997798,0.006861219147597132,0.005606048747358833,0.004816221145691689,0.16026465801294126,map,sigmoid,4,5,rank2,softplus,0.0990342933474795,,-7.371762619402789,0.0005773537274527541,9.436378400074318,3,3,True,True,-7.371762619402789,0.0005773537274527541,True,9.436378400074318,-5.831926311336456,-3.0844772891300876,-0.20192324897692682,0.0002799438061720004
CTVGP,True,,0.7910131216793594,0.004772561283848481,2.7231462313665094,0.04674526053804351,0.46079016171017684,0.00150372478131744,0.011183306562352405,0.01243623203026638,0.0017537924986131038,0.5746145125687289,map,sigmoid,4,5,rank2,exp,0.0990342933474795,,-7.631620251545172,0.0008351093167752402,5.445645899977535,2,3,True,True,-7.631620251545172,0.0008351093167752402,True,5.445645899977535,-5.766800140227883,-3.054458214723101,0.5114533802792318,0.00047222278448325793
