family,rank,map,map_scale,validation_elbo,normalized_gradient,adam_steps,lbfgs_iterations,lbfgs_function_evaluations,wall_time_seconds,plateau_passed,gradient_passed,independent_elbo_1,independent_elbo_1_se,independent_elbo_2,independent_elbo_2_se,independent_agreement_passed,converged,failure_reason,initialization,selected,experiment,case,data_seed,m_constraints,restart
rank2,2,softplus,1.0,-1.252313970035143,0.00012497205964267515,8000,54,56,10.705541000002995,True,True,-1.2561866255035536,0.011716373237231684,-1.2399399038562633,0.011284496232143205,True,True,,independent,False,capacity,log,2,5,1
rank2,2,softplus,1.0,-1.0565847560552366,0.0002668177327454937,8000,171,241,12.24746510013938,True,True,-1.0669560951670873,0.009350046024417472,-1.052053088788175,0.00925935723343321,True,True,,independent,True,capacity,log,2,5,2
rank4,4,softplus,1.0,-0.9732416641538119,0.0006923434647383832,800,46,145,2.6333896999713033,True,True,-0.9799459494258503,0.011115288498012296,-0.9629336851721142,0.008260759103224713,True,True,,nested_warm_start,True,capacity,log,2,5,0
rank4,4,softplus,1.0,-0.9740786635003876,0.00045553483811286265,8000,261,349,15.226715600118041,True,True,-0.9784158932499247,0.007881662375071034,-0.9499683525051836,0.0072201393724922215,True,True,,independent,False,capacity,log,2,5,1
rank4,4,softplus,1.0,-0.9827920136680001,0.002677298164969202,8000,282,380,15.185123499948531,True,True,-0.9882363252905432,0.008330653409299517,-0.9785319914719258,0.007101240343936737,True,True,,independent,False,capacity,log,2,5,2
full,-1,softplus,1.0,-0.9779470979240594,0.0007799874771711813,800,18,21,1.341622699983418,True,True,-0.9875217912888896,0.01128323328063622,-0.9770088521381668,0.007911381277944544,True,True,,nested_warm_start,True,capacity,log,2,5,0
full,-1,softplus,1.0,-0.9802185411652007,0.0008957410765364936,3800,18,20,5.42478709993884,True,True,-0.9826287939102027,0.007834936529217377,-0.9743603399359058,0.00915840952154368,True,True,,independent,False,capacity,log,2,5,1
full,-1,softplus,1.0,-0.9824775122301085,0.0022457002949407266,4200,18,21,5.581854999996722,True,True,-0.9818160465710917,0.008155490244814469,-0.9622125926644483,0.006274199235667905,True,True,,independent,False,capacity,log,2,5,2
diag,0,softplus,1.0,-40.514007572929216,7.511716864884937e-06,8000,324,386,20.962177499895915,True,True,-40.522282385449884,0.04782017671246261,-40.58313808635704,0.047406467829267926,True,True,,independent,False,capacity,log,3,10,0
diag,0,softplus,1.0,-40.514005947883746,9.032101453983478e-06,8000,299,329,22.772697699954733,True,True,-40.54316706064789,0.048798919721032695,-40.49400714278083,0.04790054710245664,True,True,,independent,False,capacity,log,3,10,1
diag,0,softplus,1.0,-40.51400307706011,8.752879556379958e-05,8000,291,317,19.75541270012036,True,True,-40.47361705742923,0.04747713459202973,-40.53864076806712,0.04821941054154988,True,True,,independent,True,capacity,log,3,10,2
rank2,2,softplus,1.0,-26.167137448250784,0.32477349478961764,1400,500,526,14.433707299875095,True,False,-26.163319063008338,0.038451931959997104,-26.140385526038603,0.03811999697747926,True,False,normalized_gradient,nested_warm_start,False,capacity,log,3,10,0
rank2,2,softplus,1.0,-26.172878444177638,0.45997961044969726,4400,500,530,22.320081599988043,True,False,-26.18629065720232,0.038529741304377,-26.191401646326234,0.03880547875338404,True,False,normalized_gradient,independent,False,capacity,log,3,10,1
