benchmark,conditional_clipped_eigenvalues,conditional_jitter,conditional_min_eigenvalue_raw,data_seed,delta,delta_ratio,derivative_covariance_jitter,derivative_support_violation,fit_source,loglog_mse_slope,mae,mse,opt_seed,pearson_correlation,run_id,sampling_implementation,sign_agreement,status
log,6,0.0,-2.3833797851155503e-12,12,0.0625,0.00625,1e-10,0.0,finite_difference_optimization,2.7213164145182516,7.379695614766725e-05,8.81266131989662e-09,9,0.9999998127580998,finite_difference_log_data12_opt9,centered-difference linear functional; distributionally equivalent to joint endpoint sampling,1.0,completed
sigmoid,0,0.0,4.3289370434713634e-13,13,0.5,0.05,1e-10,0.0,finite_difference_optimization,3.937096064330028,0.04288634462581776,0.008435394087373283,0,0.9959178630382256,finite_difference_sigmoid_data13_opt0,centered-difference linear functional; distributionally equivalent to joint endpoint sampling,0.97968,completed
sigmoid,0,0.0,3.098051545864759e-11,13,0.25,0.025,1e-10,0.0,finite_difference_optimization,3.937096064330028,0.011351448492410559,0.0005847451513644566,0,0.9997472107310242,finite_difference_sigmoid_data13_opt0,centered-difference linear functional; distributionally equivalent to joint endpoint sampling,0.9972,completed
sigmoid,0,0.0,7.274920358229344e-11,13,0.125,0.0125,1e-10,0.0,finite_difference_optimization,3.937096064330028,0.0028830410444161264,3.752966426262665e-05,0,0.9999842406230468,finite_difference_sigmoid_data13_opt0,centered-difference linear functional; distributionally equivalent to joint endpoint sampling,0.99998,completed
sigmoid,0,0.0,8.993130905789196e-11,13,0.0625,0.00625,1e-10,0.0,finite_difference_optimization,3.937096064330028,0.0007238945701282184,2.360601378295947e-06,0,0.9999990158271832,finite_difference_sigmoid_data13_opt0,centered-difference linear functional; distributionally equivalent to joint endpoint sampling,1.0,completed
sigmoid,0,0.0,4.3289370434713634e-13,13,0.5,0.05,1e-10,0.0,finite_difference_optimization,3.9381043236823876,0.04282263853295086,0.008438994953724395,1,0.9959615115190305,finite_difference_sigmoid_data13_opt1,centered-difference linear functional; distributionally equivalent to joint endpoint sampling,0.98159,completed
sigmoid,0,0.0,3.098051545864759e-11,13,0.25,0.025,1e-10,0.0,finite_difference_optimization,3.9381043236823876,0.011320771691760548,0.0005834002695378754,1,0.9997502943918825,finite_difference_sigmoid_data13_opt1,centered-difference linear functional; distributionally equivalent to joint endpoint sampling,0.99777,completed
sigmoid,0,0.0,7.274920358229344e-11,13,0.125,0.0125,1e-10,0.0,finite_difference_optimization,3.9381043236823876,0.0028747229190609915,3.7440756112943775e-05,1,0.9999844294904157,finite_difference_sigmoid_data13_opt1,centered-difference linear functional; distributionally equivalent to joint endpoint sampling,0.99999,completed
sigmoid,0,0.0,8.993130905789196e-11,13,0.0625,0.00625,1e-10,0.0,finite_difference_optimization,3.9381043236823876,0.0007218893057651876,2.3561682917880145e-06,1,0.9999990271459167,finite_difference_sigmoid_data13_opt1,centered-difference linear functional; distributionally equivalent to joint endpoint sampling,1.0,completed
sigmoid,0,0.0,4.3289370434713634e-13,13,0.5,0.05,1e-10,0.0,finite_difference_optimization,3.9385886708892843,0.043013335117274704,0.008596690947447198,2,0.9958821564792292,finite_difference_sigmoid_data13_opt2,centered-difference linear functional; distributionally equivalent to joint endpoint sampling,0.98034,completed
